frame,timestamp,wall_clock_ms,zone,px,py,angle,fov,render_w,render_h,dt_floor_ceil,dt_walls,dt_cast,dt_blit_walls,dt_visplane,dt_entities,dt_tint,dt_upscale,dt_hud,dt_sim,dt_physics,dt_frame_total,fps,strip_cache_size,strip_cache_prev_size,col_cache_size,ent_pool_size,bb_base_cache_size,glyph_cache_size,n_entities_visible,n_entity_billboards,n_deferred_halves,n_slices,c_extension_active
0,1771515496.8746817,0.9245999972335994,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.751,1.02,0.326,0.695,0.671,1.299,0.001,0.316,1.12,,,5.334,92.6,1785,0,0,0,0,141,14,12,118,238,True
1,1771515496.884683,10.743299993919209,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.797,1.06,0.338,0.722,0.687,1.343,0.001,0.333,1.144,,,5.553,92.6,1785,0,0,0,0,141,14,12,118,238,True
2,1771515496.8956857,21.845800001756288,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.839,1.06,0.341,0.719,0.742,1.364,0.002,0.39,1.142,,,5.718,92.6,1785,0,0,0,0,141,14,12,118,238,True
3,1771515496.9066896,32.55560000252444,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.776,1.018,0.304,0.714,0.708,1.346,0.001,0.29,1.127,,,5.43,92.6,1785,0,0,0,0,141,14,12,118,238,True
4,1771515496.916694,42.70189999078866,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.716,0.967,0.282,0.685,0.689,1.277,0.001,0.288,1.106,,,5.188,92.6,1785,0,0,0,0,141,14,12,118,238,True
5,1771515496.9266963,52.683000001707114,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.698,0.99,0.288,0.702,0.691,1.276,0.001,0.223,1.093,,,5.111,92.6,1785,0,0,0,0,141,14,12,118,238,True
6,1771515496.936699,62.68979999003932,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.664,0.957,0.281,0.676,0.681,1.278,0.001,0.196,1.136,,,5.054,92.6,1785,0,0,0,0,141,14,12,118,238,True
7,1771515496.9467044,72.6888999924995,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.657,0.941,0.277,0.664,0.67,1.274,0.001,0.256,1.122,,,5.065,92.6,1785,0,0,0,0,141,14,12,118,238,True
8,1771515496.9577072,83.90869999129791,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.771,1.055,0.336,0.718,0.73,1.335,0.001,0.373,1.111,,,5.541,92.6,1785,0,0,0,0,141,14,12,118,238,True
9,1771515496.9687097,94.71009999106172,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.749,0.976,0.289,0.687,0.736,1.308,0.001,0.245,1.098,,,5.267,92.6,1785,0,0,0,0,141,14,12,118,238,True
10,1771515496.9787118,104.70789999817498,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.739,0.978,0.293,0.685,0.666,1.285,0.001,0.263,1.097,,,5.174,95.2,1785,0,0,0,0,141,14,12,118,238,True
11,1771515496.9887142,114.72159999539144,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.703,0.956,0.282,0.674,0.673,1.289,0.001,0.272,1.11,,,5.156,95.2,1785,0,0,0,0,141,14,12,118,238,True
12,1771515496.9987164,124.70420000317972,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.738,0.983,0.292,0.691,0.68,1.327,0.001,0.259,1.138,,,5.272,95.2,1785,0,0,0,0,141,14,12,118,238,True
13,1771515497.009719,135.73609999730252,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.747,0.986,0.293,0.693,0.679,1.306,0.001,0.261,1.117,,,5.246,95.2,1785,0,0,0,0,141,14,12,118,238,True
14,1771515497.0197213,145.73019999079406,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.703,0.97,0.287,0.683,0.668,1.295,0.001,0.206,1.105,,,5.091,95.2,1785,0,0,0,0,141,14,12,118,238,True
15,1771515497.0297232,155.71009999257512,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.667,0.945,0.278,0.668,0.652,1.309,0.001,0.25,1.1,,,5.065,95.2,1785,0,0,0,0,141,14,12,118,238,True
16,1771515497.040726,166.70719999819994,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.685,0.945,0.278,0.667,0.656,1.282,0.001,0.208,1.096,,,5.012,95.2,1785,0,0,0,0,141,14,12,118,238,True
17,1771515497.0517285,177.70899999595713,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.7,0.948,0.282,0.666,0.659,1.271,0.001,0.191,1.082,,,4.99,95.2,1785,0,0,0,0,141,14,12,118,238,True
18,1771515497.0627308,188.7121999898227,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.723,0.946,0.28,0.666,0.658,1.273,0.001,0.237,1.094,,,5.072,95.2,1785,0,0,0,0,141,14,12,118,238,True
19,1771515497.0737338,199.70830000238493,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.7,0.943,0.275,0.668,0.68,1.276,0.001,0.241,1.093,,,5.072,95.2,1785,0,0,0,0,141,14,12,118,238,True
20,1771515497.0837357,209.8587999935262,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.849,1.055,0.331,0.724,0.698,1.34,0.001,0.293,1.121,,,5.52,95.2,1785,0,0,0,0,141,14,12,118,238,True
21,1771515497.0947382,220.74520000023767,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,8.372,0.974,0.291,0.683,0.673,1.289,0.0,0.278,1.098,,,12.825,95.2,1785,0,0,0,0,141,14,12,118,238,True
22,1771515497.1097422,235.06979999365285,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.691,0.932,0.273,0.659,0.65,1.253,0.0,0.199,1.083,,,4.947,95.2,1785,0,0,0,0,141,14,12,118,238,True
23,1771515497.1187432,244.71749999793246,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.725,0.951,0.282,0.669,0.659,1.274,0.001,0.278,1.125,,,5.153,95.2,1785,0,0,0,0,141,14,12,118,238,True
24,1771515497.1287458,254.73220000276342,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.715,0.956,0.283,0.673,0.663,1.287,0.001,0.214,1.095,,,5.071,95.2,1785,0,0,0,0,141,14,12,118,238,True
25,1771515497.138748,264.7388999903342,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.708,0.942,0.276,0.667,0.664,1.286,0.001,0.319,1.111,,,5.179,95.2,1785,0,0,0,0,141,14,12,118,238,True
26,1771515497.1487541,274.747399991611,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.722,0.95,0.279,0.672,0.668,1.278,0.001,0.274,1.119,,,5.153,95.2,1785,0,0,0,0,141,14,12,118,238,True
27,1771515497.1587563,284.7353999968618,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.7,0.952,0.281,0.671,0.716,1.32,0.001,0.277,1.129,,,5.246,95.2,1785,0,0,0,0,141,14,12,118,238,True
28,1771515497.1687589,294.8098999913782,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.802,1.033,0.319,0.714,0.745,1.34,0.001,0.297,1.115,,,5.497,95.2,1785,0,0,0,0,141,14,12,118,238,True
29,1771515497.1797612,305.7919999992009,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.769,0.993,0.302,0.691,0.672,1.334,0.001,0.266,1.105,,,5.286,95.2,1785,0,0,0,0,141,14,12,118,238,True
30,1771515497.1897633,315.7546000002185,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.679,0.947,0.274,0.673,0.662,1.268,0.001,0.276,1.101,,,5.076,94.3,1785,0,0,0,0,141,14,12,118,238,True
31,1771515497.1997657,325.7588999986183,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.69,0.939,0.274,0.665,0.651,1.261,0.001,0.263,1.083,,,5.026,94.3,1785,0,0,0,0,141,14,12,118,238,True
32,1771515497.210768,336.77709999028593,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.737,0.986,0.291,0.695,0.668,1.331,0.001,0.37,1.143,,,5.409,94.3,1785,0,0,0,0,141,14,12,118,238,True
33,1771515497.222996,348.906100000022,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.803,1.033,0.316,0.717,0.69,1.351,0.001,0.321,1.158,,,5.524,94.3,1785,0,0,0,0,141,14,12,118,238,True
34,1771515497.2319973,358.04779999307357,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.798,1.04,0.32,0.72,0.686,1.332,0.001,0.291,1.124,,,5.438,94.3,1785,0,0,0,0,141,14,12,118,238,True
35,1771515497.2426007,368.7099999951897,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.801,1.027,0.321,0.706,0.669,1.316,0.001,0.307,1.109,,,5.378,94.3,1785,0,0,0,0,141,14,12,118,238,True
36,1771515497.253603,379.59509999200236,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.658,0.937,0.277,0.66,0.661,1.26,0.001,0.278,1.084,,,5.016,94.3,1785,0,0,0,0,141,14,12,118,238,True
37,1771515497.2646053,390.58799999475013,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.674,0.943,0.274,0.67,0.669,1.29,0.001,0.28,1.108,,,5.111,94.3,1785,0,0,0,0,141,14,12,118,238,True
38,1771515497.2756083,401.69020000030287,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.818,1.062,0.334,0.729,0.706,1.345,0.001,0.323,1.124,,,5.551,94.3,1785,0,0,0,0,141,14,12,118,238,True
39,1771515497.2866104,412.65369999746326,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.77,1.06,0.319,0.741,0.706,1.388,0.001,0.341,1.164,,,5.615,94.3,1785,0,0,0,0,141,14,12,118,238,True
